,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3285,62,3223,872,2351,4080,62,4018,950,3068,480,13,467,144,323,2930,45,2885,687,2198,670,4,666,119,547
Vaud,1802,31,1771,308,1463,2302,31,2271,339,1932,254,7,247,50,197,1626,22,1604,237,1367,422,2,420,52,368
Valais,565,16,549,293,256,706,16,690,327,363,87,4,83,46,37,482,10,472,230,242,137,2,135,51,84
Genève,918,15,903,271,632,1072,15,1057,284,773,139,2,137,48,89,822,13,809,220,589,111,0,111,16,95
,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4482,99,4383,885,3498,5600,100,5500,957,4543,512,20,492,118,374,4120,73,4047,747,3300,968,7,961,92,869
Berne,2630,61,2569,530,2039,3262,62,3200,575,2625,284,16,268,73,195,2412,40,2372,444,1928,566,6,560,58,502
Fribourg,605,17,588,128,460,794,17,777,135,642,75,3,72,14,58,588,14,574,109,465,131,0,131,12,119
Soleure,788,7,781,121,660,989,7,982,128,854,84,0,84,15,69,716,7,709,104,605,189,0,189,9,180
Neuchâtel,310,11,299,66,233,368,11,357,71,286,56,1,55,14,41,260,9,251,51,200,52,1,51,6,45
Jura,149,3,146,40,106,187,3,184,48,136,13,0,13,2,11,144,3,141,39,102,30,0,30,7,23
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2219,30,2189,494,1695,2750,30,2720,519,2201,291,8,283,94,189,2005,19,1986,393,1593,454,3,451,32,419
Bâle-Ville,317,3,314,86,228,391,3,388,90,298,77,2,75,32,43,247,1,246,54,192,67,0,67,4,63
Bâle-Campagne,544,13,531,117,414,700,13,687,130,557,68,2,66,26,40,504,9,495,92,403,128,2,126,12,114
Argovie,1358,14,1344,291,1053,1659,14,1645,299,1346,146,4,142,36,106,1254,9,1245,247,998,259,1,258,16,242
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3012,35,2977,585,2392,3597,36,3561,628,2933,472,10,462,128,334,2491,19,2472,422,2050,634,7,627,78,549
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2845,48,2797,512,2285,3607,51,3556,562,2994,331,8,323,80,243,2624,37,2587,404,2183,652,6,646,78,568
Glaris,86,1,85,14,71,97,1,96,14,82,10,1,9,2,7,70,0,70,12,58,17,0,17,0,17
Schaffhouse,147,0,147,38,109,180,0,180,42,138,27,0,27,4,23,128,0,128,32,96,25,0,25,6,19
Appenzell Rh.-Ext.,124,0,124,37,87,142,0,142,40,102,21,0,21,9,12,102,0,102,28,74,19,0,19,3,16
Appenzell Rh.-Int.,44,0,44,9,35,49,0,49,9,40,4,0,4,1,3,40,0,40,8,32,5,0,5,0,5
Saint-Gall,1252,18,1234,252,982,1587,19,1568,272,1296,162,4,158,48,110,1142,13,1129,189,940,283,2,281,35,246
Grisons,526,17,509,73,436,709,18,691,83,608,45,1,44,8,36,497,15,482,59,423,167,2,165,16,149
Thurgovie,666,12,654,89,565,843,13,830,102,728,62,2,60,8,52,645,9,636,76,560,136,2,134,18,116
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,2019,25,1994,452,1542,2509,27,2482,494,1988,229,6,223,71,152,1891,16,1875,373,1502,389,5,384,50,334
Lucerne,1107,12,1095,222,873,1428,13,1415,235,1180,137,5,132,37,95,1051,6,1045,176,869,240,2,238,22,216
Uri,105,1,104,34,70,130,1,129,41,88,7,0,7,0,7,101,1,100,33,67,22,0,22,8,14
Schwytz,328,6,322,65,257,400,6,394,74,320,29,1,28,14,14,312,4,308,50,258,59,1,58,10,48
Obwald,83,2,81,20,61,100,3,97,20,77,10,0,10,2,8,75,3,72,17,55,15,0,15,1,14
Nidwald,82,0,82,18,64,91,0,91,18,73,11,0,11,6,5,73,0,73,12,61,7,0,7,0,7
Zoug,314,4,310,93,217,360,4,356,106,250,35,0,35,12,23,279,2,277,85,192,46,2,44,9,35
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,1128,13,1115,310,805,1419,14,1405,327,1078,132,4,128,52,76,1050,7,1043,252,791,237,3,234,23,211
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,19609,313,19296,4082,15214,24564,327,24237,4458,19779,2524,75,2449,706,1743,17629,211,17418,3285,14133,4411,41,4370,467,3903
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3679,66,3613,1011,2602,4661,70,4591,1123,3468,543,14,529,198,331,3317,44,3273,798,2475,801,12,789,127,662
Vaud,1981,34,1947,329,1618,2556,36,2520,365,2155,244,7,237,71,166,1841,24,1817,254,1563,471,5,466,40,426
Valais,590,18,572,309,263,803,20,783,371,412,99,3,96,48,48,516,10,506,262,244,188,7,181,61,120
Genève,1108,14,1094,373,721,1302,14,1288,387,901,200,4,196,79,117,960,10,950,282,668,142,0,142,26,116
,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4500,64,4436,847,3589,5657,65,5592,917,4675,494,9,485,116,369,4074,50,4024,697,3327,1089,6,1083,104,979
Berne,2561,36,2525,485,2040,3135,37,3098,526,2572,268,7,261,58,203,2291,26,2265,402,1863,576,4,572,66,506
Fribourg,631,11,620,132,488,846,11,835,147,688,71,0,71,25,46,596,10,586,103,483,179,1,178,19,159
Soleure,846,6,840,123,717,1070,6,1064,128,936,92,2,90,18,72,770,4,766,103,663,208,0,208,7,201
Neuchâtel,307,5,302,66,236,382,5,377,68,309,50,0,50,9,41,249,5,244,52,192,83,0,83,7,76
Jura,155,6,149,41,108,224,6,218,48,170,13,0,13,6,7,168,5,163,37,126,43,1,42,5,37
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2337,25,2312,452,1860,2885,25,2860,489,2371,320,8,312,89,223,2071,16,2055,364,1691,494,1,493,36,457
Bâle-Ville,381,4,377,89,288,462,4,458,96,362,96,2,94,25,69,298,2,296,67,229,68,0,68,4,64
Bâle-Campagne,611,9,602,97,505,762,9,753,105,648,79,3,76,22,54,548,6,542,76,466,135,0,135,7,128
Argovie,1345,12,1333,266,1067,1661,12,1649,288,1361,145,3,142,42,100,1225,8,1217,221,996,291,1,290,25,265
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3034,37,2997,504,2493,3684,39,3645,550,3095,428,12,416,108,308,2598,23,2575,374,2201,658,4,654,68,586
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2803,57,2746,578,2168,3561,62,3499,627,2872,342,7,335,91,244,2581,39,2542,480,2062,638,16,622,56,566
Glaris,82,0,82,24,58,103,0,103,25,78,8,0,8,4,4,76,0,76,20,56,19,0,19,1,18
Schaffhouse,133,2,131,44,87,169,3,166,51,115,22,0,22,12,10,99,1,98,34,64,48,2,46,5,41
Appenzell Rh.-Ext.,123,2,121,43,78,159,2,157,45,112,22,0,22,9,13,106,2,104,35,69,31,0,31,1,30
Appenzell Rh.-Int.,35,3,32,8,24,38,3,35,8,27,7,2,5,1,4,28,1,27,6,21,3,0,3,1,2
Saint-Gall,1211,14,1197,309,888,1536,14,1522,332,1190,159,2,157,46,111,1124,9,1115,258,857,253,3,250,28,222
Grisons,563,27,536,71,465,752,30,722,82,640,63,3,60,7,53,528,18,510,64,446,161,9,152,11,141
Thurgovie,656,9,647,79,568,804,10,794,84,710,61,0,61,12,49,620,8,612,63,549,123,2,121,9,112
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,2063,41,2022,398,1624,2614,43,2571,440,2131,249,15,234,60,174,1893,26,1867,337,1530,472,2,470,43,427
Lucerne,1095,17,1078,221,857,1409,18,1391,237,1154,137,8,129,34,95,1008,9,999,182,817,264,1,263,21,242
Uri,109,2,107,29,78,152,3,149,39,110,11,2,9,1,8,102,1,101,29,72,39,0,39,9,30
Schwytz,358,12,346,57,289,437,12,425,59,366,41,4,37,11,26,322,8,314,47,267,74,0,74,1,73
Obwald,88,6,82,25,57,120,6,114,32,82,11,0,11,6,5,84,5,79,22,57,25,1,24,4,20
Nidwald,79,0,79,16,63,86,0,86,16,70,6,0,6,2,4,71,0,71,12,59,9,0,9,2,7
Zoug,334,4,330,50,280,410,4,406,57,349,43,1,42,6,36,306,3,303,45,258,61,0,61,6,55
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,1193,23,1170,292,878,1502,23,1479,312,1167,148,10,138,44,94,1095,13,1082,235,847,259,0,259,33,226
,,,,,,,,,,,,,,,,,,,,,,,,,
